

 1: 2120.769287, 2120.769287 avg loss, 0.000000 rate, 5.023947 seconds, 64 images, -1.000000 hours left

 2: 2123.254395, 2121.017822 avg loss, 0.000000 rate, 5.267822 seconds, 128 images, 65.352705 hours left

 3: 2129.872314, 2121.903320 avg loss, 0.000000 rate, 5.285196 seconds, 192 images, 65.301848 hours left

 4: 2125.455566, 2122.258545 avg loss, 0.000000 rate, 5.139588 seconds, 256 images, 65.444994 hours left

 5: 2135.260010, 2123.558594 avg loss, 0.000000 rate, 5.423943 seconds, 320 images, 65.274551 hours left

 6: 2134.909668, 2124.693604 avg loss, 0.000000 rate, 5.324616 seconds, 384 images, 65.295730 hours left

 7: 2125.067627, 2124.730957 avg loss, 0.000000 rate, 5.478247 seconds, 448 images, 65.367241 hours left

 8: 2131.571777, 2125.415039 avg loss, 0.000000 rate, 5.446852 seconds, 512 images, 65.588824 hours left

 9: 2129.186279, 2125.792236 avg loss, 0.000000 rate, 5.337699 seconds, 576 images, 65.314420 hours left

 10: 2119.034668, 2125.116455 avg loss, 0.000000 rate, 4.983374 seconds, 640 images, 65.176518 hours left

 11: 909.973511, 2003.602173 avg loss, 0.000000 rate, 2.623098 seconds, 704 images, 64.990898 hours left

 12: 915.879456, 1894.829956 avg loss, 0.000000 rate, 2.507586 seconds, 768 images, 64.602892 hours left

 13: 900.390869, 1795.385986 avg loss, 0.000000 rate, 2.667074 seconds, 832 images, 64.468714 hours left

 14: 911.467529, 1706.994141 avg loss, 0.000000 rate, 2.567992 seconds, 896 images, 64.245780 hours left

 15: 894.975769, 1625.792358 avg loss, 0.000000 rate, 2.559347 seconds, 960 images, 63.962947 hours left

 16: 908.138245, 1554.026978 avg loss, 0.000000 rate, 2.620083 seconds, 1024 images, 63.493919 hours left

 17: 900.827209, 1488.707031 avg loss, 0.000000 rate, 2.530047 seconds, 1088 images, 63.282967 hours left

 18: 898.238159, 1429.660156 avg loss, 0.000000 rate, 2.467264 seconds, 1152 images, 63.146573 hours left

 19: 896.518250, 1376.345947 avg loss, 0.000000 rate, 2.751206 seconds, 1216 images, 62.768517 hours left

 20: 916.090759, 1330.320435 avg loss, 0.000000 rate, 3.092922 seconds, 1280 images, 62.630490 hours left

 21: 1920.612305, 1389.349609 avg loss, 0.000000 rate, 5.143174 seconds, 1344 images, 62.352373 hours left

 22: 1910.481812, 1441.462891 avg loss, 0.000000 rate, 4.748839 seconds, 1408 images, 62.160709 hours left

 23: 1911.066528, 1488.423218 avg loss, 0.000000 rate, 5.365318 seconds, 1472 images, 61.855646 hours left

 24: 1929.212402, 1532.502197 avg loss, 0.000000 rate, 5.880646 seconds, 1536 images, 61.747361 hours left

 25: 1939.930176, 1573.244995 avg loss, 0.000000 rate, 5.548890 seconds, 1600 images, 61.566640 hours left

 26: 1925.858154, 1608.506348 avg loss, 0.000000 rate, 5.194935 seconds, 1664 images, 61.387718 hours left

 27: 1905.028442, 1638.158569 avg loss, 0.000000 rate, 5.071683 seconds, 1728 images, 61.192122 hours left

 28: 1917.301270, 1666.072876 avg loss, 0.000000 rate, 4.583000 seconds, 1792 images, 60.918071 hours left

 29: 1898.475586, 1689.313110 avg loss, 0.000000 rate, 4.785826 seconds, 1856 images, 60.614176 hours left

 30: 1921.670532, 1712.548828 avg loss, 0.000000 rate, 5.369654 seconds, 1920 images, 60.326795 hours left

 31: 2125.682861, 1753.862183 avg loss, 0.000000 rate, 7.260788 seconds, 1984 images, 60.081152 hours left

 32: 2140.048584, 1792.480835 avg loss, 0.000000 rate, 7.222247 seconds, 2048 images, 59.964275 hours left

 33: 2124.884766, 1825.721191 avg loss, 0.000000 rate, 5.632351 seconds, 2112 images, 59.887200 hours left

 34: 2111.425293, 1854.291626 avg loss, 0.000000 rate, 6.024138 seconds, 2176 images, 59.663435 hours left

